SERIAL NO,COMMUNITY,SUB-CASTE
,,
1,ST,Adiyan
2,ST,Aranadan
3,ST,Eravallan
4,ST,Irular
5,ST,Kadar
6,ST,Kammar (excluding Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
7,ST,"Kanikaran, Kanikkar (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)"
8,ST,"Kaniyan, Kanyan"
9,ST,Kattunayakan
10,ST,Kochu Velan
11,ST,Konda Kapus
12,ST,Kondareddis
13,ST,Koraga
14,ST,Kota (excluding Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
15,ST,"Kudiya, Melakudi"
16,ST,Kurichchan
17,ST,Kurumbas (in the Nilgiris District)
18,ST,Kurumans
19,ST,Maha Malasar
20,ST,Malai Arayan
21,ST,Malai Pandaram
22,ST,Malai Vedan
23,ST,Malakkuravan
24,ST,Malasar
25,ST,"Malayali (in Dharmapuri, North Arcot, Pudukkottai, Salem, South Arcot and Tiruchirapalli Districts)"
26,ST,Malayakandi
27,ST,Mannan
28,ST,"Mudugar, Mudvan"
29,ST,Muthuvan
30,ST,Pallayan
31,ST,Palliyan
32,ST,Palliyar
33,ST,Paniyan
34,ST,Sholaga
35,ST,Toda (excluding Kanyakamari District and Shenlottah Taluk of Tirunelveli District)
36,ST,Uraly
37,SC,Adi Dravida
38,SC,Adi Karnataka
39,SC,Ajila
40,SC,Ayyanavar (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
41,SC,Baira
42,SC,Bakuda
43,SC,Bandi
44,SC,Bellara
45,SC,Bharatar (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
46,SC,Chalavadi
47,SC,"Chamar, Muchi"
48,SC,Chandala
49,SC,Cheruman
50,SC,"Devendrakula Velalar [Devendrakulathan, Kadaiyan(excluding in the coastal areas of Tirunelveli, Thoothukudi, Ramanathapuram, pudukottai, Thanjavur, Tiruvarur and Nagapattinam districts), kalladi, Kudumban, Pallan, pannadi, Vathiriyan]"
51,SC,"Dom, Dombar, Paidi, Pano"
52,SC,Domban
53,SC,Godagali
54,SC,Godda
55,SC,Gosargi
56,SC,Holeya
57,SC,Jaggali
58,SC,Jambuvulu
59,SC,"Kadaiyan (in the districts of Tirunelveli, Thoothukudi, Ramanathapuram, Pudukottai, Thanjavur, Tiruvarur and Nagapattinam)"
60,SC,Kakkalan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
61,SC,"Kanakkan, Padanna (in the Nilgiris District)"
62,SC,Karimpalan
63,SC,"Kavara (in Kanyakumari District and Shenkottah, Taluk of Tirunelveli District)"
64,SC,Koliyan
65,SC,Koosa
66,SC,"Kootan, Koodan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)"
67,SC,"Kuravan, Sidhanar"
68,SC,Maila
69,SC,Mala
70,SC,Mannan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
71,SC,Mavilan
72,SC,Moger
73,SC,Mundala
74,SC,Nalakeyava
75,SC,Nayadi
76,SC,Padannan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
77,SC,Palluvan
78,SC,Pambada
79,SC,Panan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
80,SC,Panchama
81,SC,Panniandi
82,SC,"Paraiyan, Parayan,Sambavar"
83,SC,Paravan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
84,SC,Pathiyan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
85,SC,"Pulayan,Cheramar"
86,SC,PuthiraiVannan
87,SC,Raneyar
88,SC,Samagara
89,SC,Samban
90,SC,Sapari
91,SC,Semman
92,SC,Thandan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
93,SC,Tiruvalluvar
94,SC,Vallon
95,SC,Valluvan
96,SC,Vannan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
97,SC,Velan
98,SC,Vetan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
99,SC,Vettiyan
100,SC,Vettuvan (in Kanyakumari District and Shenkottah Taluk of Tirunelveli District)
101,SCA,AdiAndhra
102,SCA,Arunthathiyar
103,SCA,Chakkiliyan
104,SCA,Madari
105,SCA,Madiga
106,SCA,Pagadai
107,SCA,Thoti
108,MBC/DNC,Ambalakarar
109,MBC/DNC,Andipandaram
110,MBC/DNC,Arayar (in Kanyakumari District)
111,MBC/DNC,"Bestha, Siviar"
112,MBC/DNC,Bhatraju (Other than Kshatriya Raju)
113,MBC/DNC,"Boyar, Oddar"
114,MBC/DNC,Dasari
115,MBC/DNC,Dommara
116,MBC/DNC,Eravallar(except in Kanyakumari District and Shenkottah Taluk of Tirunelveli District Wherethe Community is a Scheduled Tribe)
117,MBC/DNC,Isaivellalar
118,MBC/DNC,Jambuvanodai
119,MBC/DNC,Jangam
120,MBC/DNC,Jogi
